x,y,z,cosx,cosy,cosz,element,stage,raynum
0.116,-0.0591,-0.00124,1e-16,0e+00,-1,42,1,201
-0.0242,-0.0568,1.5,-0.0928,0.00151,0.996,-2,1,201
-0.459,-0.766,0.0178,8e-17,0e+00,-1,3,1,202
0.000115,-0.000707,1.5,0.265,0.442,0.857,-2,1,202
-0.34,0.61,0.0132,1e-16,0e+00,-1,67,1,203
-0.0473,0.023,1.5,0.18,-0.361,0.915,-2,1,203
0.183,-0.0269,0.00196,1e-16,0e+00,-1,42,1,204
0.0432,-0.0221,1.5,-0.0932,0.00317,0.996,-2,1,204
0.0161,0.266,-0.00172,1e-16,0e+00,-1,55,1,205
0.0182,-0.0271,1.5,0.00141,-0.191,0.982,-2,1,205
